,,,,Accuracy,,,,,
 ,Bagging with DT,Random Forest,AdaBoost,3NN,Linear SVM,RBF SVM,Naive Bayes,Decision Tree,Stacking
"
",,,,,,,,,
Abalone,0.9824,0.9843,0.984,0.9835,0.9852,0.9852,0.8207,0.9733,0.9837
 ,0.0006,0.0004,0,0,0,0,0,0.0008,0
"
",,,,,,,,,
Balance Scale,0.9179,0.9203,0.9216,0.9169,0.9216,0.9216,0.9216,0.9168,0.9169
 ,0.0027,0.002,0,0,0,0,0,0,0
"
",,,,,,,,,
CMC,0.6964,0.7061,0.7383,0.7214,0.7736,0.7424,0.678,0.666,0.72
 ,0.007,0.004,0,0,0,0,0,0.0042,0
"
",,,,,,,,,
Glass,0.8848,0.8908,0.8781,0.8597,0.919,0.919,0.4491,0.8356,0.8688
 ,0.0066,0.0071,0,0,0,0,0,0.0111,0
"
",,,,,,,,,
Housing,0.7608,0.763,0.7729,0.7612,0.7907,0.7907,0.5585,0.7042,0.7612
 ,0.0116,0.009,0,0,0,0,0,0.0129,0
"
",,,,,,,,,
Haberman,0.6287,0.6418,0.6333,0.6302,0.7355,0.7225,0.7355,0.5873,0.6072
 ,0.0165,0.0137,0,0,0,0,0,0.0099,0
"
",,,,,,,,,
HSLog,0.793,0.7841,0.7667,0.6519,0.8185,0.5519,0.8333,0.7607,0.6519
 ,0.0129,0.0238,0,0,0,0,0,0.0069,0
"
",,,,,,,,,
Ionosphere,0.906,0.9228,0.9203,0.8407,0.8635,0.9232,0.866,0.8738,0.8379
 ,0.0059,0.0059,0,0,0,0,0,0.0074,0
"
",,,,,,,,,
Nursery,0.9725,0.9741,0.9676,0.9738,0.9747,0.9747,0.9738,0.9747,0.9738
 ,0.0006,0.0003,0,0,0,0,0,0,0
"
",,,,,,,,,
Phenome,0.8877,0.8887,0.8164,0.8825,0.7731,0.8218,0.7174,0.8636,0.8829
 ,0.0036,0.0027,0,0,0,0,0,0.0012,0
"
",,,,,,,,,
"
",,,,,,,,,
,,,,F1-Measure,,,,,
 ,Bagging with DT,Random Forest,AdaBoost,3NN,Linear SVM,RBF SVM,Naive Bayes,Decision Tree,Stacking
"
",,,,,,,,,
Abalone,0.991,0.992,0.9918,0.9916,0.9924,0.9924,0.8991,0.9863,0.9917
 ,0.0003,0.0002,0,0,0,0,0,0.0004,0
"
",,,,,,,,,
Balance Scale,0.9571,0.9584,0.9592,0.9565,0.9592,0.9592,0.9592,0.9565,0.9565
 ,0.0015,0.0011,0,0,0,0,0,0,0
"
",,,,,,,,,
CMC,0.7462,0.7554,0.7877,0.7658,0.8118,0.7903,0.7223,0.7205,0.7645
 ,0.0038,0.0027,0,0,0,0,0,0.0026,0
"
",,,,,,,,,
Glass,0.9281,0.9314,0.9242,0.9141,0.9465,0.9465,0.5311,0.8981,0.9194
 ,0.0034,0.0038,0,0,0,0,0,0.0075,0
"
",,,,,,,,,
Housing,0.8434,0.847,0.855,0.8467,0.8791,0.8791,0.5566,0.8007,0.8467
 ,0.0096,0.0066,0,0,0,0,0,0.0098,0
"
",,,,,,,,,
Haberman,0.7277,0.742,0.7169,0.7412,0.8441,0.8349,0.8441,0.6766,0.7213
 ,0.0172,0.0116,0,0,0,0,0,0.009,0
"
",,,,,,,,,
HSLog,0.8123,0.803,0.7955,0.693,0.8404,0.7094,0.8513,0.7864,0.693
 ,0.0121,0.0214,0,0,0,0,0,0.0054,0
"
",,,,,,,,,
Ionosphere,0.915,0.9289,0.9318,0.8722,0.8856,0.9334,0.8941,0.8908,0.8699
 ,0.0057,0.0055,0,0,0,0,0,0.0063,0
"
",,,,,,,,,
Nursery,0.9857,0.9865,0.9824,0.9864,0.9869,0.9869,0.9864,0.9869,0.9864
 ,0.0003,0.0002,0,0,0,0,0,0,0
"
",,,,,,,,,
Phenome,0.8,0.8016,0.675,0.7931,0.5994,0.6999,0.6072,0.7664,0.793
 ,0.0065,0.0049,0,0,0,0,0,0.0019,0
"
",,,,,,,,,
"
",,,,,,,,,
,,,,AUC,,,,,
 ,Bagging with DT,Random Forest,AdaBoost,3NN,Linear SVM,RBF SVM,Naive Bayes,Decision Tree,Stacking
"
",,,,,,,,,
Abalone,0.7001,0.7006,0.6994,0.6991,0.7,0.7,0.7312,0.7191,0.6993
 ,0.002,0.0014,0,0,0,0,0,0.0052,0
"
",,,,,,,,,
Balance Scale,0.4989,0.5005,0.5,0.5091,0.5,0.5,0.5,0.4974,0.5091
 ,0.0029,0.003,0,0,0,0,0,0,0
"
",,,,,,,,,
CMC,0.777,0.7746,0.7643,0.7783,0.75,0.7626,0.7915,0.7814,0.7753
 ,0.0033,0.0042,0,0,0,0,0,0.0025,0
"
",,,,,,,,,
Glass,0.9021,0.9023,0.92,0.9,0.9,0.9,0.9192,0.9164,0.9
 ,0.0028,0.0043,0,0,0,0,0,0.0088,0
"
",,,,,,,,,
Housing,0.5806,0.5691,0.5779,0.5513,0.5,0.5,0.5505,0.5441,0.5513
 ,0.01,0.0117,0,0,0,0,0,0.0142,0
"
",,,,,,,,,
Haberman,0.5394,0.5392,0.4885,0.5133,0.5,0.4956,0.5,0.5322,0.5027
 ,0.0142,0.0139,0,0,0,0,0,0.0053,0
"
",,,,,,,,,
HSLog,0.7926,0.7853,0.7659,0.6457,0.8122,0.4967,0.831,0.7549,0.6457
 ,0.013,0.0255,0,0,0,0,0,0.0082,0
"
",,,,,,,,,
Ionosphere,0.9156,0.9298,0.9278,0.8453,0.8677,0.925,0.8974,0.8872,0.8425
 ,0.0065,0.0061,0,0,0,0,0,0.0085,0
"
",,,,,,,,,
Nursery,0.8076,0.803,0.8312,0.8047,0.8,0.8,0.8029,0.8,0.8066
 ,0.002,0.002,0,0,0,0,0,0,0
"
",,,,,,,,,
Phenome,0.852,0.8528,0.7687,0.8487,0.7169,0.7895,0.7263,0.8345,0.8482
 ,0.0044,0.0035,0,0,0,0,0,0.0014,0
"
",,,,,,,,,
"
",,,,,,,,,
,,,"WIN, TIE, LOSE",-,Accuracy,,,,
 ,Bagging with DT,Random Forest,AdaBoost,3NN,Linear SVM,RBF SVM,Naive Bayes,Decision Tree,Stacking
Bagging with DT,,,,,,,,,
s,"[0, 0, 0]","[1, 0, 9]","[4, 0, 6]","[5, 1, 4]","[2, 0, 8]","[2, 0, 8]","[6, 0, 4]","[9, 0, 1]","[6, 1, 3]"
p,0,0.931567424,0.952917065,0.707678491,0.793150044,0.894076081,0.18540932,0.630540914,0.690089485
t,0,-0.087082446,0.059872313,0.380978437,-0.266147859,0.135043567,1.376961716,0.489296571,0.405222617
Random Forest,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[6, 1, 3]","[7, 2, 1]","[2, 0, 8]","[2, 1, 7]","[6, 1, 3]","[9, 0, 1]","[7, 2, 1]"
p,0,0,0.882898669,0.645604008,0.866698488,0.83108415,0.162659223,0.572712831,0.629766322
t,0,0,0.149400693,0.467711182,-0.170268083,0.216433046,1.455834155,0.574541347,0.49041292
AdaBoost,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[7, 1, 2]","[2, 1, 7]","[1, 1, 8]","[6, 1, 3]","[8, 0, 2]","[7, 1, 2]"
p,0,0,0,0.74430331,0.736513153,0.935246469,0.1940659,0.66320049,0.725403923
t,0,0,0,0.331219874,-0.341727522,0.082389239,1.348993812,0.442779265,0.35678114
3NN,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 0, 9]","[2, 0, 8]","[5, 1, 4]","[6, 1, 3]","[3, 5, 2]"
p,0,0,0,0,0.504625237,0.825907454,0.318492462,0.910455711,0.976016326
t,0,0,0,0,-0.680860061,-0.22318146,1.025979314,0.114056333,0.030484243
Linear SVM,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 5, 2]","[6, 2, 2]","[7, 1, 2]","[9, 0, 1]"
p,0,0,0,0,0,0.700223088,0.105779614,0.43918603,0.492915759
t,0,0,0,0,0,0.391225286,1.702963385,0.791099843,0.699934904
RBF SVM,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[7, 1, 2]","[7, 1, 2]","[8, 0, 2]"
p,0,0,0,0,0,0,0.249726581,0.746585062,0.806312463
t,0,0,0,0,0,0,1.189424167,0.328149469,0.248825847
Naive Bayes,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, 0, 6]","[4, 1, 5]"
p,0,0,0,0,0,0,0,0.375288684,0.337320488
t,0,0,0,0,0,0,0,-0.909140829,-0.985752587
Decision Tree,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 1, 6]"
p,0,0,0,0,0,0,0,0,0.935311692
t,0,0,0,0,0,0,0,0,-0.082306055
Stacking,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
p,0,0,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,0
"
",,,,,,,,,
,,,"WIN, TIE, LOSE",-,Fmeasure,,,,
 ,Bagging with DT,Random Forest,AdaBoost,3NN,Linear SVM,RBF SVM,Naive Bayes,Decision Tree,Stacking
Bagging with DT,,,,,,,,,
s,"[0, 0, 0]","[1, 1, 8]","[5, 0, 5]","[5, 1, 4]","[2, 0, 8]","[2, 0, 8]","[6, 1, 3]","[9, 0, 1]","[6, 1, 3]"
p,0,0.927809326,0.856021805,0.752326157,0.936133545,0.956836376,0.18197714,0.619373755,0.726751786
t,0,-0.091878588,0.184062924,0.320438311,-0.081257923,-0.054882855,1.388340658,0.505453227,0.354950259
Random Forest,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[5, 1, 4]","[6, 3, 1]","[2, 1, 7]","[2, 1, 7]","[6, 1, 3]","[9, 0, 1]","[6, 3, 1]"
p,0,0,0.790166462,0.685951439,0.998675316,0.975766448,0.161727858,0.559546323,0.662110782
t,0,0,0.27008582,0.410962219,0.001683454,0.030801954,1.459249965,0.594546843,0.444314758
AdaBoost,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, 1, 3]","[2, 2, 6]","[1, 2, 7]","[6, 1, 3]","[8, 0, 2]","[6, 1, 3]"
p,0,0,0,0.905764567,0.80868295,0.824250594,0.24735818,0.768847001,0.878466525
t,0,0,0,0.120061262,-0.245714723,-0.225343613,1.195622446,0.298357616,0.155102507
3NN,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 8]","[1, 1, 8]","[5, 1, 4]","[6, 1, 3]","[3, 6, 1]"
p,0,0,0,0,0.714043257,0.726729185,0.274903791,0.853380401,0.970210108
t,0,0,0,0,-0.372263647,-0.354980949,1.126123896,0.187481353,0.037867548
Linear SVM,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 5, 2]","[5, 2, 3]","[7, 1, 2]","[8, 1, 1]"
p,0,0,0,0,0,0.979121913,0.18388881,0.594359239,0.691192342
t,0,0,0,0,0,0.026535863,1.381981705,0.54215717,0.403695282
RBF SVM,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[7, 1, 2]","[7, 1, 2]","[8, 1, 1]"
p,0,0,0,0,0,0,0.183453337,0.602860655,0.703023879
t,0,0,0,0,0,0,1.383425569,0.529600224,0.387370841
Naive Bayes,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 0, 5]","[4, 1, 5]"
p,0,0,0,0,0,0,0,0.347243646,0.290760047
t,0,0,0,0,0,0,0,-0.965180839,-1.088440272
Decision Tree,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 1, 6]"
p,0,0,0,0,0,0,0,0,0.883864276
t,0,0,0,0,0,0,0,0,-0.148159156
Stacking,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
p,0,0,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,0
"
",,,,,,,,,
,,,"WIN, TIE, LOSE",-,AUC,,,,
 ,Bagging with DT,Random Forest,AdaBoost,3NN,Linear SVM,RBF SVM,Naive Bayes,Decision Tree,Stacking
Bagging with DT,,,,,,,,,
s,"[0, 0, 0]","[4, 2, 4]","[6, 0, 4]","[8, 0, 2]","[7, 1, 2]","[7, 1, 2]","[5, 0, 5]","[7, 0, 3]","[9, 0, 1]"
p,0,0.989908748,0.861331092,0.689590115,0.644804138,0.504176996,0.867871115,0.885355715,0.674897499
t,0,0.012824674,0.177198602,0.405914516,0.468851609,0.681585534,0.168755116,0.146241998,0.426364709
Random Forest,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[6, 1, 3]","[7, 0, 3]","[8, 1, 1]","[9, 1, 0]","[4, 2, 4]","[7, 0, 3]","[7, 1, 2]"
p,0,0,0.872130451,0.701490397,0.656446169,0.514592042,0.878681784,0.896265163,0.686761637
t,0,0,0.163262956,0.389480467,0.452314441,0.664822773,0.15482546,0.132235274,0.40983734
AdaBoost,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 1, 4]","[6, 1, 3]","[6, 1, 3]","[5, 1, 4]","[6, 0, 4]","[5, 1, 4]"
p,0,0,0,0.830726841,0.780896687,0.621063512,0.992952472,0.973275865,0.814857292
t,0,0,0,0.216898502,0.282349236,0.502999756,-0.008956363,-0.033968825,0.237622912
3NN,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, 1, 3]","[7, 1, 2]","[5, 0, 5]","[4, 0, 6]","[4, 5, 1]"
p,0,0,0,0,0.943209212,0.757901896,0.822930283,0.80018781,0.9824191
t,0,0,0,0,0.072237903,0.312968349,-0.227067373,-0.256875917,0.022344362
Linear SVM,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 5, 3]","[0, 2, 8]","[2, 1, 7]","[3, 1, 6]"
p,0,0,0,0,0,0.812199468,0.773206893,0.750580842,0.960608579
t,0,0,0,0,0,0.241104096,-0.292556312,-0.322780396,-0.050082034
RBF SVM,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 1, 7]","[2, 1, 7]","[2, 1, 7]"
p,0,0,0,0,0,0,0.614002711,0.592750965,0.774035594
t,0,0,0,0,0,0,-0.513272973,-0.544542617,-0.291454811
Naive Bayes,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[8, 0, 2]","[5, 0, 5]"
p,0,0,0,0,0,0,0,0.980358354,0.807067814
t,0,0,0,0,0,0,0,-0.024964002,0.247834219
Decision Tree,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, 0, 4]"
p,0,0,0,0,0,0,0,0,0.784275654
t,0,0,0,0,0,0,0,0,0.277873974
Stacking,,,,,,,,,
s,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
p,0,0,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,0
"
",,,,,,,,,
